Nombre;Direccion;Distrito;Telefono
CLINICA MEDICA CAYETANO HEREDIA;Av. Honorio Delgado N° 370, San Martin de Porres;San Martin de Porres;(001) 207-6200
AUNA - CLINICA BELLAVISTA;Av.Las Gaviotas N 207 San Jose, Bellavista Callao;Bellavista;(001) 204-9600
CLINICA PROVIDENCIA;Cl. Carlos Gonzales N° 250, Urb Maranga-San Miguel;San Miguel;(0051) 660-6000
CLINICA SAN JUDAS TADEO;Cl. Manuel Raygada N° 170, San Miguel;San Miguel;2191100
CSALUD - CLINICA MAISON DE SANTE SEDE LIMA;Jr. Miguel Aljovin Nro. 208 -222 Cercado de Lima;Cercado de Lima;(001) 619-6000
CLINICA LIMATAMBO - SEDE CALLAO MINKA;Av. Argentina 3093 -Callao;Callao;(001) 652-7474
CLINICA CENTENARIO PERUANO JAPONESA;Av. Paso De Los Andes N° 675, Pueblo Libre;Pueblo Libre;(001) 218-1017
CLINICA STELLA MARIS;Av. Paso De Los Andes N° 923, Pueblo Libre;Pueblo Libre;(001) 463-6666
CLINICA GOOD HOPE;Av. Malecon Balta N° 956, Miraflores;Miraflores;(001) 610-7300
SANNA - Clínica El Golf;Av. Aurelio Miro Quesada n° 1030, San Isidro;San Isidro;(001) 6310-000/ 635-5000
CLINICA LIMATAMBO;Av. Republica De Panamá N° 3606, San Isidro;San Isidro;(001) 442-4670
AUNA -  CLINICA GUARDIA CIVIL;Av. Guardia Civil 368;San Isidro;(001) 513-7900
CLINICA JAVIER PRADO;Av. Javier Prado Este N° 499, San Isidro;San Isidro;(001) 211-4141
CLINICA RICARDO PALMA;Av. Javier Prado Este N° 1066, San Isidro;San Isidro;(001) 224-2224
CLINICA VESALIO;Cl. Joseph Thompon N° 140, Urb. Santo Tomas, San Borja;San Borja;(001) 618-9999
CLINICA DE ESPECIALIDADES MEDICAS UNIVERSAL;Jr. Eduardo Ordoñez N° 468, San Borja;San Borja;(001) 225-5477
CLINICA PADRE LUIS TEZZA;Av. El Polo N° 570, Urb. Monterrico, Santiago de Surco;Santiago de Surco;(001) 610-5050
CLINICA HIGUERETA;Av. Benavides 2951;Miraflores;4622980
RESOMASA;Av. Javier Prado Este Nº 1178 San Isidro;San Isidro;(001) 212-2034
RESOMASA;Av. Emilio Cavenecia Nº 265 San Isidro;San Isidro;(001) 421-5370
CLINICA MONTEFIORI;Av. Separadora Industrial N° 380, Urb. Los Cactus, La Molina;La Molina;(001) 437-5151
HOGAR CLINICA SAN JUAN DE DIOS LIMA;Av. Nicolas Arriola 3250;San Luis;3191431
