Nombre;Tipo;RUC;Zona;Direccion;Distrito;Telefono;Lat;Lng
CLINICA MEDICA CAYETANO HEREDIA;CLINICA_GENERAL;20515290142;LIMA NORTE;Av. Honorio Delgado N° 370, San Martin de Porres;San Martin de Porres;(001) 207-6200;-12.023348817525637;-77.05584007231406
AUNA - CLINICA BELLAVISTA;CLINICA_GENERAL;20100251176;CALLAO - LIMA CERCADO;Av.Las Gaviotas N 207 San Jose, Bellavista Callao;Bellavista;(001) 204-9600;-12.057647718022075;-77.096242997438
CLINICA PROVIDENCIA;CLINICA_GENERAL;20477983708;CALLAO - LIMA CERCADO;Cl. Carlos Gonzales N° 250, Urb Maranga-San Miguel;San Miguel;(0051) 660-6000;-12.074968794005668;-77.09095475325768
CLINICA SAN JUDAS TADEO;CLINICA_GENERAL;20175508610;CALLAO - LIMA CERCADO;Cl. Manuel Raygada N° 170, San Miguel;San Miguel;2191100;-12.079798231034578;-77.07987190485397
CSALUD - CLINICA MAISON DE SANTE SEDE LIMA;CLINICA_GENERAL;20101165389;CALLAO - LIMA CERCADO;Jr. Miguel Aljovin Nro. 208 -222 Cercado de Lima;Cercado de Lima;(001) 619-6000;-12.057277641376265;-77.0336174416312
CLINICA LIMATAMBO - SEDE CALLAO MINKA;CLINICA_GENERAL;20101098681;CALLAO - LIMA CERCADO;Av. Argentina 3093 -Callao;Callao;(001) 652-7474;-12.04679167124624;-77.11098036066664
CLINICA CENTENARIO PERUANO JAPONESA;CLINICA_GENERAL;20101267467;CALLAO - LIMA CERCADO;Av. Paso De Los Andes N° 675, Pueblo Libre;Pueblo Libre;(001) 218-1017;-12.072768326900798;-77.0589369262832
CLINICA STELLA MARIS;CLINICA_GENERAL;20428080671;CALLAO - LIMA CERCADO;Av. Paso De Los Andes N° 923, Pueblo Libre;Pueblo Libre;(001) 463-6666;-12.070830767693549;-77.05890284160888
CLINICA GOOD HOPE;CLINICA_GENERAL;20337889167;LIMA CENTRO;Av. Malecon Balta N° 956, Miraflores;Miraflores;(001) 610-7300;-12.125389499990723;-77.03356159982211
SANNA - Clínica El Golf;CLINICA_GENERAL;20507264108;LIMA CENTRO;Av. Aurelio Miro Quesada n° 1030, San Isidro;San Isidro;(001) 6310-000/ 635-5000;-12.098604970531975;-77.05114069928453
CLINICA LIMATAMBO;CLINICA_GENERAL;20101098681;LIMA CENTRO;Av. Republica De Panamá N° 3606, San Isidro;San Isidro;(001) 442-4670;-12.100395790876176;-77.01910909928147
AUNA -  CLINICA GUARDIA CIVIL;CLINICA_GENERAL;20381170412;LIMA CENTRO;Av. Guardia Civil 368;San Isidro;(001) 513-7900;-12.095128640047543;-77.01019307787432
CLINICA JAVIER PRADO;CLINICA_GENERAL;20100122368;LIMA CENTRO;Av. Javier Prado Este N° 499, San Isidro;San Isidro;(001) 211-4141;-12.091124456061074;-77.02822896067083
CLINICA RICARDO PALMA;CLINICA_GENERAL;20100121809;LIMA CENTRO;Av. Javier Prado Este N° 1066, San Isidro;San Isidro;(001) 224-2224;-12.090413264743713;-77.01817427601372
CLINICA VESALIO;CLINICA_GENERAL;20100178401;LIMA CENTRO;Cl. Joseph Thompon N° 140, Urb. Santo Tomas, San Borja;San Borja;(001) 618-9999;-12.106201366111678;-77.00695148581639
