Referencia;Provincia;Distrito;TipoVia;NombreVia;AASS;Lat;Lng
CH 1 JOCKEY;LIMA;SANTIAGO DE SURCO;Avenida;JAVIER PRADO ESTE;SARA CORDERO;-12.084708;-76.980210
CH 2 OVALO;LIMA;SAN ISIDRO;Plaza;AGUSTIN GUTIERREZ- CAVENECIA 106-110 - CONQUISTADORES 1090-1094;SARA CORDERO;-12.098921;-77.034644
CH 4 TAIPEI;LIMA;MIRAFLORES;Avenida;ALFREDO BENAVIDES;SARA CORDERO;-12.127281;-77.011195
CH 5 MONITOR;LIMA;LA MOLINA;Avenida;LAS PLAMERAS;SARA CORDERO;-12.077983;-76.917284
CH 6 LARCO MAR;LIMA;MIRAFLORES;Avenida;MALECON DE LA RESERVA;SARA CORDERO;-12.120621;-77.029499
CH 7 MEGA PLAZA;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA ;SARA CORDERO;-12.006404;-77.061492
CH 8 PARQUE ARAUCO;AREQUIPA;AREQUIPA;Avenida;LAMBRAMANI;Sheyda Florindez;-16.407787;-71.524256
CH 9 PRIMAVERA CON VELASCO A;LIMA;SANTIAGO DE SURCO;Avenida;ALEJANDRO VELASCO ASTETE ;SARA CORDERO;-12.125105;-76.982161
CH 10 PARDO;LIMA;MIRAFLORES;Avenida;JOSE PARDO;SARA CORDERO;-12.119004;-77.033039
CH 11 OPEN PLAZA PIURA ;PIURA;CASTILLA;Avenida;CACERES;Sheyda Florindez;-5.183210;-80.618132
CH 12 AVENTURA STA. ANITA;LIMA;SANTA ANITA;Avenida;CARRETERA CENTRAL;SARA CORDERO;-12.045444;-76.942125
CH 13 CC SAN BORJA;LIMA;SAN BORJA;Avenida;PER�METRO ENCERRADO POR LA JAVIER PRADO OESTE, CALLE CARPACCIO Y CALLE UCELLO;SARA CORDERO;-12.096452;-76.995690
CH 14 AVENTURA TRUJILLO;TRUJILLO;TRUJILLO;Avenida;AMERICA OESTE;Sheyda Florindez;-8.103001;-79.045470
CH 15 C.C. CENTRO CIVICO;LIMA;LIMA;Avenida;INCA GARCILAZO DE LA VEGA;SARA CORDERO;-12.059861;-77.006784
CH 17 DOS DE MAYO;LIMA;SAN ISIDRO;Avenida;DOS DE MAYO;SARA CORDERO;-12.092751;-77.048721
CH 18 CC REAL PZA. CHICLAYO;CHICLAYO;CHICLAYO;Calle;MARISCAL ANDR�S AVELINO C�CERES ;Sheyda Florindez;-6.771615;-79.838718
CH 19 CC REAL PZA. CUZCO;CUSCO;CUSCO;Avenida;AVENIDA COLLASUYO ;Sheyda Florindez;-13.519302;-71.962136
CH 20 CC PLAZA LIMA NORTE;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;SARA CORDERO;-12.006404;-77.061492
CH 21 CC MALL DEL SUR;LIMA;SAN JUAN DE MIRAFLORES;Avenida;PEDRO MIOTA ;SARA CORDERO;-12.162858;-76.963519
