N°;Referencia;Provincia;Distrito;Giro del inmueble;Tipo de calle/vía;Nombre de calle/vía;AASS
12;CH 1 JOCKEY;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO ESTE;SARA CORDERO
13;CH 2 OVALO;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Plaza;AGUSTIN GUTIERREZ- CAVENECIA 106-110 - CONQUISTADORES 1090-1094;SARA CORDERO
14;CH 4 TAIPEI;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO BENAVIDES;SARA CORDERO
15;CH 5 MONITOR;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida;LAS PLAMERAS;SARA CORDERO
16;CH 6 LARCO MAR;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;MALECON DE LA RESERVA;SARA CORDERO
17;CH 7 MEGA PLAZA;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA ;SARA CORDERO
18;CH 8 PARQUE ARAUCO;AREQUIPA;AREQUIPA;RESTAURANTE\RESTAURANTE;Avenida;LAMBRAMANI;Sheyda Florindez
19;CH 9 PRIMAVERA CON VELASCO A;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;ALEJANDRO VELASCO ASTETE ;SARA CORDERO
20;CH 10 PARDO;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;JOSE PARDO;SARA CORDERO
21;CH 11 OPEN PLAZA PIURA ;PIURA;CASTILLA;RESTAURANTE\RESTAURANTE;Avenida;CACERES;Sheyda Florindez
22;CH 12 AVENTURA STA. ANITA;LIMA;SANTA ANITA;RESTAURANTE\RESTAURANTE;Avenida;CARRETERA CENTRAL;SARA CORDERO
23;CH 13 CC SAN BORJA;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;PERÍMETRO ENCERRADO POR LA JAVIER PRADO OESTE, CALLE CARPACCIO Y CALLE UCELLO;SARA CORDERO
24;CH 14 AVENTURA TRUJILLO;TRUJILLO;TRUJILLO;RESTAURANTE\RESTAURANTE;Avenida;AMERICA OESTE;Sheyda Florindez
25;CH 15 C.C. CENTRO CIVICO;LIMA;LIMA;RESTAURANTE\RESTAURANTE;Avenida;INCA GARCILAZO DE LA VEGA;SARA CORDERO
26;CH 17 DOS DE MAYO;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;DOS DE MAYO;SARA CORDERO
27;CH 18 CC REAL PZA. CHICLAYO;CHICLAYO;CHICLAYO;RESTAURANTE\RESTAURANTE;Calle;MARISCAL ANDRÉS AVELINO CÁCERES ;Sheyda Florindez
28;CH 19 CC REAL PZA. CUZCO;CUSCO;CUSCO;RESTAURANTE\RESTAURANTE;Avenida;AVENIDA COLLASUYO ;Sheyda Florindez
29;CH 20 CC PLAZA LIMA NORTE;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA;SARA CORDERO
30;CH 21 CC MALL DEL SUR;LIMA;SAN JUAN DE MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;PEDRO MIOTA ;SARA CORDERO
31;CH 22 CC OPEN PLAZA ANGAMOS;LIMA;SURQUILLO;RESTAURANTE\RESTAURANTE;Avenida;NUEVA TOMAS MARSANO ;SARA CORDERO
32;CH 23 PLAZA LIMA SUR;LIMA;CHORRILLOS;RESTAURANTE\RESTAURANTE;Avenida;PASEO DE LA REPÚBLICA;SARA CORDERO
33;CH 24 CC. OPEN PLAZA HUANCAYO;HUANCAYO;HUANCAYO;RESTAURANTE\RESTAURANTE;Avenida;FERROCARRIL;Sheyda Florindez
34;CH 26 C.C. REAL PLAZA PRIMAVERA;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;ANGAMOS ESTE;SARA CORDERO
35;CH 27 BAJADA BALTA;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Malecon;BALTA;SARA CORDERO
36;CH 3 SAN MIGUEL;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Calle;MANTARO;SARA CORDERO
37;CH 28 RIVERA NAVARRETE;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;RICARDO RIVERA NAVERRETE;SARA CORDERO
38;CH 29 CC EL POLO;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Jiron;CENTRO COMERCIAL EL POLO ;SARA CORDERO
39;CH 16 C.C. AVENTURA BELLAVISTA;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;OSCAR R. BENAVIDES ;SARA CORDERO
40;CH 31 PURUCHUCO;LIMA;ATE;RESTAURANTE\RESTAURANTE;Avenida;NICOLAS AYLLON;SARA CORDERO
44;CH 25 LA RAMBLA BRASIL;LIMA;BREÑA;RESTAURANTE\RESTAURANTE;Avenida;BRASIL ;SARA CORDERO
45;CH 32 MALL AVENTURA CHICLAYO;CHICLAYO;CHICLAYO;RESTAURANTE\RESTAURANTE;Avenida;PANAMERICANA;Sheyda Florindez
46;CHILIS35 MA SJL;LIMA;SAN JUAN DE LURIGANCHO;RESTAURANTE\RESTAURANTE;Avenida;LURIGANCHO;SARA CORDERO
47;KFC 3 AVIACIÓN;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;AVIACION;Yeisll Diaz
48;KFC 4 SAN ISIDRO CAR 1;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO OESTE;Paola Mija
49;KFC 5 BENAVIDES;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO BENAVIDES;Yeisll Diaz
50;KFC 6 LARCO;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;JOSE A. LARCO;Katherine Gutierrez
51;KFC 7 CAMACHO;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO;Mariaelena Quiroz
52;KFC 9 ESPINAR;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;COMANDANTE ESPINAR;Katherine Gutierrez
