Referencia;Provincia;Distrito;TipoVia;NombreVia;AASS
CH 1 JOCKEY;LIMA;SANTIAGO DE SURCO;Avenida;JAVIER PRADO ESTE;SARA CORDERO
CH 2 OVALO;LIMA;SAN ISIDRO;Plaza;AGUSTIN GUTIERREZ- CAVENECIA 106-110 - CONQUISTADORES 1090-1094;SARA CORDERO
CH 4 TAIPEI;LIMA;MIRAFLORES;Avenida;ALFREDO BENAVIDES;SARA CORDERO
CH 5 MONITOR;LIMA;LA MOLINA;Avenida;LAS PLAMERAS;SARA CORDERO
CH 6 LARCO MAR;LIMA;MIRAFLORES;Avenida;MALECON DE LA RESERVA;SARA CORDERO
CH 7 MEGA PLAZA;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA ;SARA CORDERO
CH 8 PARQUE ARAUCO;AREQUIPA;AREQUIPA;Avenida;LAMBRAMANI;Sheyda Florindez
CH 9 PRIMAVERA CON VELASCO A;LIMA;SANTIAGO DE SURCO;Avenida;ALEJANDRO VELASCO ASTETE ;SARA CORDERO
CH 10 PARDO;LIMA;MIRAFLORES;Avenida;JOSE PARDO;SARA CORDERO
CH 11 OPEN PLAZA PIURA ;PIURA;CASTILLA;Avenida;CACERES;Sheyda Florindez
CH 12 AVENTURA STA. ANITA;LIMA;SANTA ANITA;Avenida;CARRETERA CENTRAL;SARA CORDERO
CH 13 CC SAN BORJA;LIMA;SAN BORJA;Avenida;PERÍMETRO ENCERRADO POR LA JAVIER PRADO OESTE, CALLE CARPACCIO Y CALLE UCELLO;SARA CORDERO
CH 14 AVENTURA TRUJILLO;TRUJILLO;TRUJILLO;Avenida;AMERICA OESTE;Sheyda Florindez
CH 15 C.C. CENTRO CIVICO;LIMA;LIMA;Avenida;INCA GARCILAZO DE LA VEGA;SARA CORDERO
CH 17 DOS DE MAYO;LIMA;SAN ISIDRO;Avenida;DOS DE MAYO;SARA CORDERO
CH 18 CC REAL PZA. CHICLAYO;CHICLAYO;CHICLAYO;Calle;MARISCAL ANDRÉS AVELINO CÁCERES ;Sheyda Florindez
CH 19 CC REAL PZA. CUZCO;CUSCO;CUSCO;Avenida;AVENIDA COLLASUYO ;Sheyda Florindez
CH 20 CC PLAZA LIMA NORTE;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;SARA CORDERO
CH 21 CC MALL DEL SUR;LIMA;SAN JUAN DE MIRAFLORES;Avenida;PEDRO MIOTA ;SARA CORDERO
CH 22 CC OPEN PLAZA ANGAMOS;LIMA;SURQUILLO;Avenida;NUEVA TOMAS MARSANO ;SARA CORDERO
CH 23 PLAZA LIMA SUR;LIMA;CHORRILLOS;Avenida;PASEO DE LA REPÚBLICA;SARA CORDERO
CH 24 CC. OPEN PLAZA HUANCAYO;HUANCAYO;HUANCAYO;Avenida;FERROCARRIL;Sheyda Florindez
CH 26 C.C. REAL PLAZA PRIMAVERA;LIMA;SAN BORJA;Avenida;ANGAMOS ESTE;SARA CORDERO
CH 27 BAJADA BALTA;LIMA;MIRAFLORES;Malecon;BALTA;SARA CORDERO
CH 3 SAN MIGUEL;LIMA;SAN MIGUEL;Calle;MANTARO;SARA CORDERO
CH 28 RIVERA NAVARRETE;LIMA;SAN ISIDRO;Avenida;RICARDO RIVERA NAVERRETE;SARA CORDERO
CH 29 CC EL POLO;LIMA;SANTIAGO DE SURCO;Jiron;CENTRO COMERCIAL EL POLO ;SARA CORDERO
CH 16 C.C. AVENTURA BELLAVISTA;CALLAO;CALLAO;Avenida;OSCAR R. BENAVIDES ;SARA CORDERO
CH 31 PURUCHUCO;LIMA;ATE;Avenida;NICOLAS AYLLON;SARA CORDERO
CH 25 LA RAMBLA BRASIL;LIMA;BREÑA;Avenida;BRASIL ;SARA CORDERO
CH 32 MALL AVENTURA CHICLAYO;CHICLAYO;CHICLAYO;Avenida;PANAMERICANA;Sheyda Florindez
CHILIS35 MA SJL;LIMA;SAN JUAN DE LURIGANCHO;Avenida;LURIGANCHO;SARA CORDERO
KFC 3 AVIACIÓN;LIMA;SAN BORJA;Avenida;AVIACION;Yeisll Diaz
KFC 4 SAN ISIDRO CAR 1;LIMA;SAN ISIDRO;Avenida;JAVIER PRADO OESTE;Paola Mija
KFC 5 BENAVIDES;LIMA;SANTIAGO DE SURCO;Avenida;ALFREDO BENAVIDES;Yeisll Diaz
KFC 6 LARCO;LIMA;MIRAFLORES;Avenida;JOSE A. LARCO;Katherine Gutierrez
KFC 7 CAMACHO;LIMA;LA MOLINA;Avenida;JAVIER PRADO;Mariaelena Quiroz
KFC 9 ESPINAR;LIMA;MIRAFLORES;Avenida;COMANDANTE ESPINAR;Katherine Gutierrez
KFC 10 CC LA RAMBLA FREE STANDING ;LIMA;SAN BORJA;Jiron;CARPACCIO;Yeisll Diaz
KFC 11 SAN MIGUEL;LIMA;SAN MIGUEL;Jiron;LA MARINA ;Mariaelena Quiroz
KFC 14 LA MOLINA;LIMA;LA MOLINA;Avenida;RAÚL FERRERO;Mariaelena Quiroz
KFC 15 JR. DE LA UNIÓN;LIMA;LIMA;Jiron;DE LA UNIÓN;Yeisll Diaz
KFC 17 PRIMAVERA ;LIMA;SANTIAGO DE SURCO;Avenida;PRIMAVERA ;Yeisll Diaz
KFC 18 JOCKEY PH14;LIMA;SANTIAGO DE SURCO;Avenida;JAVIER PRADO ESTE ;Yeisll Diaz
KFC 19 CANADÁ PH 12;LIMA;LA VICTORIA;Avenida;CANADA;Yeisll Diaz
KFC 20 SUCRE PH 13;LIMA;PUEBLO LIBRE;Avenida;SAN MARTIN;Katherine Gutierrez
KFC 21 ARMENDARIZ PH 15;LIMA;MIRAFLORES;Avenida;ARMENDARIZ;Katherine Gutierrez
KFC 22 SANTA ANITA PH 17;LIMA;SANTA ANITA;Calle;ESQUINA .LOS RUISEÑORES Y CALLE LAS ALONDRAS;Yeisll Diaz
KFC 24 SAGA SAN ISIDRO  PH 18;LIMA;SAN ISIDRO;Avenida;LAS BEGONIAS;Yeisll Diaz
KFC 25 LARCO MAR;LIMA;MIRAFLORES;Malecon;DE LA RESERVA;Katherine Gutierrez
KFC 26 LIMATAMBO;LIMA;SAN BORJA;Avenida;ANGAMOS ESTE;Yeisll Diaz
KFC 27 SAGA AREQUIPA;AREQUIPA;AREQUIPA;Avenida;CALLE ARCES SAGAFALABELLA CAYMA ;Sheyda Florindez
KFC 28 ROYAL PLAZA PH 26;LIMA;INDEPENDENCIA;Avenida;CARLOS IZAGUIRRE;Paola Mija
KFC 29 FOOD COURT MEGA;LIMA;INDEPENDENCIA;Avenida;CENTRO COMERCIAL MEGAPLAZA, AV. ALFREDO MENDIOLA;Paola Mija
KFC 30 MEGA PLAZA;LIMA;INDEPENDENCIA;Avenida;ALFREDO MENDIOLA;Paola Mija
KFC 31 FC CÁNEPA;LIMA;LA VICTORIA;Avenida;ANTONIO BAZO ;Yeisll Diaz
KFC 34 CHORRILLOS;LIMA;CHORRILLOS;Avenida;PASEO DE LA REPUBLICA;Katherine Gutierrez
KFC 35 LIMA SUR CHORRILLOS;LIMA;CHORRILLOS;Avenida;PASEO DE LA REPUBLICA;Katherine Gutierrez
KFC 36 PLAZA CHICLAYO;CHICLAYO;CHICLAYO;Avenida;M. DE CERVANTES;Sheyda Florindez
KFC 37 TAIPEI;LIMA;MIRAFLORES;Avenida;JOSE A. ENCINAS;Katherine Gutierrez
KFC 38 SAN LUIS;LIMA;SAN LUIS;Avenida;CANADA;Yeisll Diaz
KFC 39 FAUCETT CALLAO PHD 8;CALLAO;CALLAO;Avenida;ELMER FAUCETT;Mariaelena Quiroz
KFC 40 COMAS;LIMA;COMAS;Avenida;TUPAC AMARU;Paola Mija
KFC 42 TELLO;LIMA;SURQUILLO;Avenida;REPUBLICA DE PANAMA;Yeisll Diaz
KFC 43 SODIMAC;LIMA;LA VICTORIA;Avenida;JAVIER PRADO ESTE;Yeisll Diaz
KFC 45 PEZET;LIMA;SAN ISIDRO;Avenida;PEZET, GENERAL JUAN ANTONIO;Yeisll Diaz
KFC 46 SAN JUAN ;LIMA;SAN JUAN DE MIRAFLORES;Avenida;SAN JUAN;Yeisll Diaz
KFC 48 REAL PLAZA ;TRUJILLO;TRUJILLO;Avenida;CESAR VALLEJO OESTE;Sheyda Florindez
KFC 49 MALL PLAZA;TRUJILLO;TRUJILLO;Avenida;AMERICA OESTE ;Sheyda Florindez
KFC 50 ATOCONGO;LIMA;SAN JUAN DE MIRAFLORES;Avenida;CIRCUNVALACION;Yeisll Diaz
KFC 51 TOMÁS VALLE;CALLAO;CALLAO;Avenida;TOMAS VALLE;Mariaelena Quiroz
